# note: preview (top 1000 words, see vocab_report.csv.tar.gz for full data)
# version: 0.0.0.1
# generated_at: 2026-01-13T04:11:35.171063+00:00
# tool_version: vocab-census v0.1.0
# source_projects: 5
# total_unique_words: 84201
word,global_count,project_coverage,type
codecs,1682,5,identifier
conn,1678,4,identifier
info,1674,5,identifier
importorskip,1666,3,identifier
abc,1661,5,string_constant
io,1654,5,identifier
warn,1651,5,identifier
assertNotIn,1644,1,identifier
fill_value,1633,2,identifier
dumps,1621,5,identifier
Categorical,1612,2,identifier
ones,1596,2,identifier
label,1596,3,identifier
__name__,1593,5,builtin
AttributeError,1586,5,builtin
NaT,1585,1,identifier
col,1584,3,identifier
wait,1583,2,identifier
buf,1580,3,identifier
assertNotEqual,1575,1,identifier
bytes,1565,5,builtin
subprocess,1561,3,identifier
alpha,1554,3,identifier
read_csv,1553,2,identifier
emit,1551,1,identifier
pa,1539,3,identifier
compile,1536,4,identifier
est,1536,3,identifier
collector,1531,1,identifier
int64,1526,3,identifier
operator,1524,4,identifier
math,1523,3,identifier
exception,1522,5,identifier
type,1519,5,identifier
take,1518,3,identifier
labels,1517,3,identifier
create,1511,3,identifier
exists,1508,5,identifier
assert_produces_warning,1504,1,identifier
KeyError,1504,5,builtin
Any,1500,4,identifier
seek,1500,5,identifier
lower,1499,5,identifier
types,1498,4,identifier
set_index,1490,3,identifier
extend,1488,5,identifier
app,1482,4,identifier
fixture,1477,5,identifier
run,1462,5,identifier
NotImplementedError,1442,5,builtin
indices,1442,3,identifier
checkequal,1442,1,identifier
ctx,1441,4,identifier
error,1440,5,identifier
Interval,1434,2,identifier
fp,1432,5,identifier
param,1415,5,identifier
X_test,1407,1,identifier
empty,1401,4,identifier
DatetimeIndex,1398,1,identifier
verbose,1387,3,identifier
escape,1385,3,identifier
unlink,1385,5,identifier
sleep,1377,5,identifier
fn,1374,5,identifier
max_iter,1374,2,identifier
message,1371,4,identifier
string,1363,5,identifier
td,1359,3,identifier
ns,1355,4,identifier
dot,1354,3,identifier
min,1353,3,identifier
stat,1352,3,identifier
inspect,1339,4,identifier
pos,1337,4,identifier
platform,1336,5,identifier
zip,1334,4,builtin
NA,1320,3,identifier
Period,1319,2,identifier
from_arrays,1317,1,identifier
clear,1313,5,identifier
pickle,1309,4,identifier
X_train,1305,1,identifier
execute,1302,3,identifier
fd,1301,4,identifier
dti,1300,1,identifier
reindex,1300,1,identifier
results,1285,3,identifier
setUp,1279,1,identifier
metric,1277,2,identifier
axes,1267,2,identifier
actual,1263,3,identifier
client,1253,3,identifier
unique,1252,3,identifier
url,1249,5,identifier
pack,1244,3,identifier
__main__,1243,5,string_constant
spec,1242,4,identifier
left,1236,3,string_constant
dirname,1235,5,identifier
ssl,1235,3,identifier
run_until_complete,1232,1,identifier
__class__,1226,3,identifier
df1,1224,1,identifier
timeout,1219,4,identifier
rolling,1218,1,identifier
classmethod,1218,5,builtin
lib,1217,4,identifier
fileno,1216,3,identifier
title,1214,5,identifier
env,1212,5,identifier
score,1212,2,identifier
assert_array_almost_equal,1211,1,identifier
concat,1209,3,identifier
fmt,1208,3,identifier
Exception,1208,5,builtin
where,1204,4,identifier
any,1199,3,identifier
int64,1198,2,string_constant
next,1197,5,builtin
indexer,1193,2,identifier
filterwarnings,1193,4,identifier
skipna,1192,1,identifier
isnan,1192,3,identifier
attr,1180,5,identifier
store,1177,2,identifier
iris,1175,2,identifier
ravel,1168,2,identifier
signal,1168,4,identifier
send,1163,3,identifier
_testcapi,1161,1,identifier
type2test,1161,1,identifier
codes,1160,3,identifier
slice,1152,3,builtin
parent,1151,4,identifier
row,1149,4,identifier
randint,1147,3,identifier
reader,1143,3,identifier
shares_memory,1136,2,identifier
decimal,1135,4,identifier
flush,1135,3,identifier
Mock,1132,3,identifier
default,1131,5,identifier
enumerate,1125,4,builtin
color,1122,4,identifier
state,1120,5,identifier
cat,1112,3,identifier
RuntimeError,1110,5,builtin
ndim,1105,3,identifier
select,1100,4,identifier
